Date : 2023-04-20 20:24:32
Directory : q:\React项目合集(已做)\onresume
Total : 177 files,  41673 codes, 301 comments, 590 blanks, all 42564 lines

Languages
+----------------+------------+------------+------------+------------+------------+
| language       | files      | code       | comment    | blank      | total      |
| q:\React项目合集(已做)\onresume\src\components\order-list\style.js                                                    | JavaScript     |         25 |          0 |          3 |         28 |
| q:\React项目合集(已做)\onresume\src\components\resume-bottomTab\index.jsx                                             | JavaScript JSX |        129 |          3 |          6 |        138 |
| q:\React项目合集(已做)\onresume\src\components\resume-bottomTab\style.js                                              | JavaScript     |         26 |          0 |          2 |         28 |
| q:\React项目合集(已做)\onresume\src\components\resume-info\c-cpns\certificateHonor\index.jsx                          | JavaScript JSX |         21 |          0 |          3 |         24 |
| q:\React项目合集(已做)\onresume\src\components\resume-info\c-cpns\certificateHonor\style.js                           | JavaScript     |         26 |          0 |          2 |         28 |
| q:\React项目合集(已做)\onresume\src\components\resume-info\c-cpns\project-expe\index.jsx                              | JavaScript JSX |         17 |          0 |          3 |         20 |
| q:\React项目合集(已做)\onresume\src\components\resume-info\c-cpns\project-expe\style.js                               | JavaScript     |          4 |          0 |          2 |          6 |
| q:\React项目合集(已做)\onresume\src\components\resume-info\c-cpns\resume-content\index.jsx                            | JavaScript JSX |         49 |          0 |          5 |         54 |
| q:\React项目合集(已做)\onresume\src\components\resume-info\c-cpns\resume-content\style.js                             | JavaScript     |         62 |          0 |          2 |         64 |
| q:\React项目合集(已做)\onresume\src\components\resume-info\c-cpns\resume-header\index.jsx                             | JavaScript JSX |         28 |          0 |          3 |         31 |
| q:\React项目合集(已做)\onresume\src\components\resume-info\c-cpns\resume-header\style.js                              | JavaScript     |         61 |          0 |          2 |         63 |
| q:\React项目合集(已做)\onresume\src\components\resume-info\c-cpns\resume-title\index.jsx                              | JavaScript JSX |         25 |          0 |          3 |         28 |
| q:\React项目合集(已做)\onresume\src\components\resume-info\c-cpns\resume-title\style.js                               | JavaScript     |        129 |          0 |          2 |        131 |
| q:\React项目合集(已做)\onresume\src\components\resume-info\c-cpns\school-expe\index.jsx                               | JavaScript JSX |         17 |          0 |          3 |         20 |
| q:\React项目合集(已做)\onresume\src\components\resume-info\c-cpns\school-expe\style.js                                | JavaScript     |          4 |          0 |          2 |          6 |
| q:\React项目合集(已做)\onresume\src\components\resume-info\c-cpns\selfEvaluation\index.jsx                            | JavaScript JSX |         20 |          0 |          3 |         23 |
| q:\React项目合集(已做)\onresume\src\components\resume-info\c-cpns\selfEvaluation\style.js                             | JavaScript     |         26 |          0 |          2 |         28 |
| q:\React项目合集(已做)\onresume\src\components\resume-info\c-cpns\skillSpecialties\index.jsx                          | JavaScript JSX |         19 |          0 |          3 |         22 |
| q:\React项目合集(已做)\onresume\src\components\resume-info\c-cpns\skillSpecialties\style.js                           | JavaScript     |         25 |          0 |          2 |         27 |
| q:\React项目合集(已做)\onresume\src\components\resume-info\c-cpns\user-info\c-cpns\Avatar\index.jsx                   | JavaScript JSX |         72 |          2 |          1 |         75 |
| q:\React项目合集(已做)\onresume\src\components\resume-info\c-cpns\user-info\index.jsx                                 | JavaScript JSX |        128 |          2 |          5 |        135 |
| q:\React项目合集(已做)\onresume\src\components\resume-info\c-cpns\user-info\style.js                                  | JavaScript     |        186 |          1 |          2 |        189 |
| q:\React项目合集(已做)\onresume\src\components\resume-info\c-cpns\work-expe\index.jsx                                 | JavaScript JSX |         17 |          0 |          3 |         20 |
| q:\React项目合集(已做)\onresume\src\components\resume-info\c-cpns\work-expe\style.js                                  | JavaScript     |          2 |          0 |          2 |          4 |
| q:\React项目合集(已做)\onresume\src\components\resume-message\index.jsx                                               | JavaScript JSX |         25 |          1 |          3 |         29 |
| q:\React项目合集(已做)\onresume\src\components\resume-team\index.jsx                                                  | JavaScript JSX |         94 |          1 |          3 |         98 |
| q:\React项目合集(已做)\onresume\src\components\resume-team\style.js                                                   | JavaScript     |         80 |          0 |         10 |         90 |
| q:\React项目合集(已做)\onresume\src\components\resumeImg-item\index.jsx                                               | JavaScript JSX |          7 |          0 |          4 |         11 |
| q:\React项目合集(已做)\onresume\src\components\resumeImg-item\style.js                                                | JavaScript     |          2 |          0 |          2 |          4 |
| q:\React项目合集(已做)\onresume\src\components\serviceSetion\index.jsx                                                | JavaScript JSX |         68 |          2 |          3 |         73 |
| q:\React项目合集(已做)\onresume\src\components\serviceSetion\style.js                                                 | JavaScript     |        232 |          0 |          4 |        236 |
| q:\React项目合集(已做)\onresume\src\hooks\useOrder.jsx                                                                | JavaScript JSX |          9 |          0 |          1 |         10 |
| q:\React项目合集(已做)\onresume\src\hooks\useSetTime.jsx                                                              | JavaScript JSX |          9 |          0 |          1 |         10 |
| q:\React项目合集(已做)\onresume\src\hooks\useSocket.jsx                                                               | JavaScript JSX |         44 |         32 |         13 |         89 |
| q:\React项目合集(已做)\onresume\src\hooks\useWebSocket.jsx                                                            | JavaScript JSX |         66 |         10 |         13 |         89 |
| q:\React项目合集(已做)\onresume\src\index.js                                                                          | JavaScript     |         23 |          0 |          2 |         25 |
| q:\React项目合集(已做)\onresume\src\pages\home\c-cpns\home-banner\index.jsx                                           | JavaScript JSX |         21 |          1 |          4 |         26 |
| q:\React项目合集(已做)\onresume\src\pages\home\c-cpns\home-banner\style.js                                            | JavaScript     |         43 |          1 |          3 |         47 |
| q:\React项目合集(已做)\onresume\src\pages\home\c-cpns\home-charact\index.jsx                                          | JavaScript JSX |         17 |          0 |          3 |         20 |
| q:\React项目合集(已做)\onresume\src\pages\home\c-cpns\home-charact\style.js                                           | JavaScript     |         35 |          0 |          2 |         37 |
| q:\React项目合集(已做)\onresume\src\pages\home\c-cpns\home-hotTemplate\c-cpns\hot-resume\index.jsx                    | JavaScript JSX |         45 |          0 |          3 |         48 |
| q:\React项目合集(已做)\onresume\src\pages\home\c-cpns\home-hotTemplate\c-cpns\hot-resume\style.js                     | JavaScript     |         51 |         10 |          3 |         64 |
| q:\React项目合集(已做)\onresume\src\pages\home\c-cpns\home-hotTemplate\c-cpns\hot-title\index.jsx                     | JavaScript JSX |         14 |          0 |          4 |         18 |
| q:\React项目合集(已做)\onresume\src\pages\home\c-cpns\home-hotTemplate\index.jsx                                      | JavaScript JSX |         44 |          1 |          4 |         49 |
| q:\React项目合集(已做)\onresume\src\pages\home\c-cpns\home-hotTemplate\style.js                                       | JavaScript     |        113 |          1 |         16 |        130 |
| q:\React项目合集(已做)\onresume\src\pages\home\c-cpns\home-resumeImg\index.jsx                                        | JavaScript JSX |         12 |          0 |          4 |         16 |
| q:\React项目合集(已做)\onresume\src\pages\home\c-cpns\home-service\index.jsx                                          | JavaScript JSX |         18 |          0 |          2 |         20 |
| q:\React项目合集(已做)\onresume\src\pages\home\c-cpns\home-service\style.js                                           | JavaScript     |          6 |          6 |          2 |         14 |
| q:\React项目合集(已做)\onresume\src\pages\home\c-cpns\home-slide\index.jsx                                            | JavaScript JSX |         28 |          4 |          2 |         34 |
| q:\React项目合集(已做)\onresume\src\pages\home\c-cpns\home-slide\style.js                                             | JavaScript     |         16 |          3 |          3 |         22 |
| q:\React项目合集(已做)\onresume\src\pages\home\index.jsx                                                              | JavaScript JSX |         93 |          2 |          3 |         98 |
| q:\React项目合集(已做)\onresume\src\pages\home\style.js                                                               | JavaScript     |         19 |          0 |          2 |         21 |
| q:\React项目合集(已做)\onresume\src\pages\login\c-cpns\forget-pwd\index.jsx                                           | JavaScript JSX |         46 |          0 |          5 |         51 |
| q:\React项目合集(已做)\onresume\src\pages\login\c-cpns\forget-pwd\style.js                                            | JavaScript     |         58 |          0 |          2 |         60 |
| q:\React项目合集(已做)\onresume\src\pages\login\index.jsx                                                             | JavaScript JSX |         17 |          1 |          2 |         20 |
| q:\React项目合集(已做)\onresume\src\pages\login\style.js                                                              | JavaScript     |          6 |          0 |          2 |          8 |
| q:\React项目合集(已做)\onresume\src\pages\my\c-cpns\my-info\index.jsx                                                 | JavaScript JSX |         54 |          1 |          2 |         57 |
| q:\React项目合集(已做)\onresume\src\pages\my\c-cpns\my-info\style.js                                                  | JavaScript     |         28 |          3 |          2 |         33 |
| q:\React项目合集(已做)\onresume\src\pages\my\c-cpns\my-order\index.jsx                                                | JavaScript JSX |        230 |         11 |          5 |        246 |
| q:\React项目合集(已做)\onresume\src\pages\my\c-cpns\my-resume\index.jsx                                               | JavaScript JSX |        128 |          1 |          2 |        131 |
| q:\React项目合集(已做)\onresume\src\pages\my\c-cpns\my-resume\style.js                                                | JavaScript     |         64 |          0 |          3 |         67 |
| q:\React项目合集(已做)\onresume\src\pages\my\c-cpns\popularize\index.jsx                                              | JavaScript JSX |        107 |          0 |          3 |        110 |
| q:\React项目合集(已做)\onresume\src\pages\my\c-cpns\popularize\style.js                                               | JavaScript     |          6 |          0 |          3 |          9 |
| q:\React项目合集(已做)\onresume\src\pages\my\c-cpns\upload-template\index.jsx                                         | JavaScript JSX |         52 |          0 |          4 |         56 |
| q:\React项目合集(已做)\onresume\src\pages\my\index.jsx                                                                | JavaScript JSX |         18 |          0 |          3 |         21 |
| q:\React项目合集(已做)\onresume\src\pages\my\style.js                                                                 | JavaScript     |          6 |          0 |          2 |          8 |
| q:\React项目合集(已做)\onresume\src\pages\register\index.jsx                                                          | JavaScript JSX |         11 |          0 |          3 |         14 |
| q:\React项目合集(已做)\onresume\src\pages\register\style.js                                                           | JavaScript     |          2 |          0 |          2 |          4 |
| q:\React项目合集(已做)\onresume\src\pages\resume-company\c-cards\index.jsx                                            | JavaScript JSX |         67 |          0 |          4 |         71 |
| q:\React项目合集(已做)\onresume\src\pages\resume-company\c-cards\style.js                                             | JavaScript     |        103 |          2 |         11 |        116 |
| q:\React项目合集(已做)\onresume\src\pages\resume-company\index.jsx                                                    | JavaScript JSX |         15 |          0 |          3 |         18 |
| q:\React项目合集(已做)\onresume\src\pages\resume-company\style.js                                                     | JavaScript     |          5 |          0 |          2 |          7 |
| q:\React项目合集(已做)\onresume\src\pages\resume-details\c-cpns\drawer-tabs\index.jsx                                 | JavaScript JSX |        106 |          2 |          5 |        113 |
| q:\React项目合集(已做)\onresume\src\pages\resume-details\c-cpns\resume-helpOpt\index.jsx                              | JavaScript JSX |         47 |          1 |          2 |         50 |
| q:\React项目合集(已做)\onresume\src\pages\resume-details\c-cpns\resume-helpOpt\style.js                               | JavaScript     |        102 |          0 |         12 |        114 |
| q:\React项目合集(已做)\onresume\src\pages\resume-details\c-cpns\resume-helper\index.jsx                               | JavaScript JSX |         18 |          1 |          4 |         23 |
| q:\React项目合集(已做)\onresume\src\pages\resume-details\c-cpns\resume-helper\style.js                                | JavaScript     |         60 |          0 |          8 |         68 |
| q:\React项目合集(已做)\onresume\src\pages\resume-details\c-cpns\resume-main\index.jsx                                 | JavaScript JSX |         78 |          5 |          3 |         86 |
| q:\React项目合集(已做)\onresume\src\pages\resume-details\c-cpns\resume-main\style.js                                  | JavaScript     |         63 |          4 |          6 |         73 |
